	La139	140Ce	Pr141	Nd142	Nd143	Nd144	Nd145	Nd146	Sm147	Nd148	Sm149	Nd150	Eu151	Sm152	Eu153	Sm154	Gd155	Gd156	Gd157	Gd158	Tb159	Gd160	Dy161	Dy162	Dy163	Dy164	Ho165	Er166	Er167	Er168	Tm169	Er170	Yb171	Yb172	Yb173	Yb174	Lu175	Yb176
La139	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
140Ce	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pr141	0	0	1	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nd142	0	0	0	1	0.007	0.004	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nd143	0	0	0	0.01	1	0.027	0.003	0.003	0	0	0	0	0	0	0	0	0	0	0	0	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nd144	0	0	0	0	0.003	1	0.008	0.003	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nd145	0	0	0	0.003	0.002	0.014	1	0.043	0	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nd146	0	0	0	0.002	0.001	0.004	0.003	1	0.003	0.003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sm147	0	0	0	0	0	0	0	0	1	0.028	0.006	0.001	0	0.004	0	0.003	0	0	0	0	0	0	0	0	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0
Nd148	0	0	0	0.005	0.002	0.006	0.002	0.008	0	1	0.004	0.005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sm149	0	0	0	0	0	0	0	0	0.002	0.009	1	0.021	0	0.006	0	0.003	0	0	0	0	0	0	0	0	0	0	0.002	0	0	0	0	0	0	0	0	0	0	0
Nd150	0	0	0	0.005	0.003	0.007	0.002	0.004	0	0.003	0.001	1	0.004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eu151	0	0	0	0	0	0	0	0	0	0	0	0.001	1	0.005	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sm152	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.004	0.008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eu153	0	0	0	0	0	0	0	0	0	0	0	0	0.007	0.001	1	0.004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sm154	0	0	0	0	0	0	0	0	0.001	0.001	0.001	0	0	0.008	0	1	0.004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gd155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gd156	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.009	1	0.01	0	0.003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gd157	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001	0.003	1	0.005	0.008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gd158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001	1	0.005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tb159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001	0.001	0.007	0.001	1	0.004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	#VALUE!	0
Gd160	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003	1	0.033	0.01	0.007	0	0	0	0	0	0	0	0	0	0	0	0	0.002
Dy161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001	0.016	1	0.051	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0
Dy162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.004	0.013	1	0.023	0	0	0	0	0	0	0	0	0	0	0	0	0
Dy163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.005	0.008	0.029	1	0.006	0	0	0	0	0	0	0	0	0	0	0	0
Dy164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001	1	0.004	0	0	0	0	0	0	0	0	0	0	0
Ho165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001	1	0.021	0.005	0	0	0	0	0	0	0	0	0
Er166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.009	1	0.031	0.005	0	0.001	0	0	0	0	0	0
Er167	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003	0.007	1	0.031	0	0	0	0	0	0	0	0
Er168	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001	1	0.007	0.003	0	0	0	0	0	0
Tm169	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.007	0.006	0.01	0.001	1	0.009	0	0.004	0	0	0	0
Er170	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0.001	1	0.009	0.012	0	0	0	0
Yb171	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001	0.016	1	0.049	0.004	0.004	0	0.001
Yb172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002	0.009	1	0.052	0.012	0	0.002
Yb173	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.004	0.016	1	0.054	0	0.003
Yb174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001	0.002	0.004	1	0.014	0.004
Lu175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001	1	0.021
Yb176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001	0.003	0.001	1
