	La139	140Ce	Pr141	Nd142	Nd143	Nd144	Nd145	Nd146	Sm147	Nd148	Sm149	Nd150	Eu151	Sm152	Eu153	Sm154	Gd155	Gd156	Gd157	Gd158	Tb159	Gd160	Dy161	Dy162	Dy163	Dy164	Ho165	Er166	Er167	Er168	Tm169	Er170	Yb171	Yb172	Yb173	Yb174	Lu175	Yb176
La139	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
140Ce	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pr141	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nd142	0	0	0	1	0.003	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	0.016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nd143	0	0	0	0.007	1	0.018	0.001	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nd144	0	0	0	0.002	0.002	1	0.011	0.004	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nd145	0	0	0	0.001	0.001	0.01	1	0.033	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nd146	0	0	0	0.001	0	0.002	0.001	1	0	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	0.019	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sm147	0	0	0	0	0	0	0	0	1	0.02	0.004	0.001	0	0.002	0	0.001	0	0	0	0	0	0	0	0	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0
Nd148	0	0	0	0.013	0.007	0.016	0.005	0.015	0	1	0	0.012	0	0	0	0	0	0	0	0	0	0	0	0	0	0.018	0	0	0	0	0	0	0	0	0	0	0	0
Sm149	0	0	0	0	0	0	0	0	0.001	0.006	1	0.013	0	0.002	0	0.001	0	0	0	0	0	0	0	0	0	0	0.002	0	0	0	0	0	0	0	0	0	0	0
Nd150	0	0	0	0.003	0.002	0.004	0.001	0.003	0	0.00266	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.015	0	0	0	0	0	0	0	0	0	0
Eu151	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0.007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sm152	0	0	0	0	0	0	0	0	0	0	0.001	0.001	0	1	0	0.006	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001	0	0	0	0	0	0	0	0
Eu153	0	0	0	0	0	0	0	0	0	0	0	0	0.006	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sm154	0	0	0	0	0	0	0	0	0	0	0	0	0	0.005	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001	0	0	0	0	0	0
